FIR NO,FIR DATE,REF NO,ACCIDENT DATE,ACCIDENT TIME,PLACE,DISTRICT,POLICE STATION,STATE,TYPE OF AREA,ACCIDENT TYPE,NO OF FATALITIES,NO OF FATALITIES (DRIVER),NO OF FATALITIES (PASSENGER),NO OF FATALITIES (PEDESTRIAN),GRIEVOUSLY INJURED,GRIEVOUSLY INJURED (DRIVER),GRIEVOUSLY INJURED (PASSENGER),GRIEVOUSLY INJURED (PEDESTRIAN),MINOR INJURED,MINOR INJURED (DRIVER),MINOR INJURED (PASSENGER),MINOR INJURED (PEDESTRIAN),PROPERTY DAMAGE,Onspot fatality,No of Onspot fatality,Police involved,Police fatality,MOTORIZED VEHICLE INVOLVED,NON MOTORIZED VEHICLE INVOLVED,PEDESTRIAN INVOLVED,TYPE OF WEATHER,HIT AND RUN,TYPE OF COLLISION,Collision type,DAY OF OCCURANCE,DATE OF INFO RECEIVED,OFFICER IN-CHARGE,UNDER SECTION IPC,UNDER SECTION MV ACT,UNDER SECTION ADDITIONAL,ADDED DATE,LAST MODIFICATION DATE,INFO FILLED BY,RANK,MOBILE NUMBER,ROAD NAME,ROAD NUMBER,LAND MARK,ROAD CHAINAGE,LONGITUDE,LATITUDE,MAP ZOOM,NO OF LANE,SURFACE CONDITION,ROAD TYPE,ROAD SUB,ROAD AREA TYPE,PHYSICAL DRIVER,ROAD UNDER WORK CONSTRUCTION,SPEED LIMIT,VISIBILITY AFTER ACCIDENT,ACCIDENT SPOT,ROAD FEATURE,CARRIAGEWAY TYPES,ROAD JUNCTION,TYPE OF TRAFFIC CONTROL,PEDESTRIAN INVOLVED.1,VEHICLE INDEX,TYPE OF VEHICLE,REGISTRATION NUMBER,VEHICLE INSURANCE,DISPOSITION,VEHICLE CARRYING,LOAD CONDITION,MECHANICAL FAILURE,VEHICLE DEFECT,MANUFACTURE AGE,AGE,VEHICLE MOVING TOWARDS,VEHICLE INDEX.1,TYPE OF VEHICLE.1,REGISTRATION NUMBER.1,VEHICLE INSURANCE.1,DISPOSITION.1,VEHICLE CARRYING.1,LOAD CONDITION.1,MECHANICAL FAILURE.1,VEHICLE DEFECT.1,MANUFACTURE AGE.1,AGE.1,VEHICLE MOVING TOWARDS.1,VEHICLE INDEX.2,TYPE OF VEHICLE.2,REGISTRATION NUMBER.2,VEHICLE INSURANCE.2,DISPOSITION.2,VEHICLE CARRYING.2,LOAD CONDITION.2,MECHANICAL FAILURE.2,VEHICLE DEFECT.2,MANUFACTURE AGE.2,AGE.2,VEHICLE MOVING TOWARDS.2,VEHICLE INDEX.3,TYPE OF VEHICLE.3,REGISTRATION NUMBER.3,VEHICLE INSURANCE.3,DISPOSITION.3,VEHICLE CARRYING.3,LOAD CONDITION.3,MECHANICAL FAILURE.3,VEHICLE DEFECT.3,MANUFACTURE AGE.3,AGE.3,VEHICLE MOVING TOWARDS.3,VEHICLE INDEX.4,TYPE OF VEHICLE.4,REGISTRATION NUMBER.4,VEHICLE INSURANCE.4,DISPOSITION.4,VEHICLE CARRYING.4,LOAD CONDITION.4,MECHANICAL FAILURE.4,VEHICLE DEFECT.4,MANUFACTURE AGE.4,AGE.4,VEHICLE MOVING TOWARDS.4,VEHICLE INDEX.5,SEX,NAME,ADDRESS,IMPACTING VEHICLE,AGE.5,TYPE OF LICENCE,CATEGORY OF LICENCE,LICENCE NO,TYPE OF VIOLATION,TYPE OF INJURY,USING REQUISITE SAFETY,VEHICLE INDEX.6,SEX.1,NAME.1,ADDRESS.1,IMPACTING VEHICLE.1,AGE.6,TYPE OF LICENCE.1,CATEGORY OF LICENCE.1,LICENCE NO.1,TYPE OF VIOLATION.1,TYPE OF INJURY.1,USING REQUISITE SAFETY.1,VEHICLE INDEX.7,SEX.2,NAME.2,ADDRESS.2,IMPACTING VEHICLE.2,AGE.7,TYPE OF LICENCE.2,CATEGORY OF LICENCE.2,LICENCE NO.2,TYPE OF VIOLATION.2,TYPE OF INJURY.2,USING REQUISITE SAFETY.2,VEHICLE INDEX.8,SEX.3,NAME.3,ADDRESS.3,IMPACTING VEHICLE.3,AGE.8,TYPE OF LICENCE.3,CATEGORY OF LICENCE.3,LICENCE NO.3,TYPE OF VIOLATION.3,TYPE OF INJURY.3,USING REQUISITE SAFETY.3,VEHICLE INDEX.9,SEX.4,NAME.4,ADDRESS.4,IMPACTING VEHICLE.4,AGE.9,TYPE OF LICENCE.4,CATEGORY OF LICENCE.4,LICENCE NO.4,TYPE OF VIOLATION.4,TYPE OF INJURY.4,USING REQUISITE SAFETY.4,PERSON INDEX,PERSON INVOLVED TYPE,SEX.5,AGE.10,IMPACTING VEHICLE.5,TYPE OF INJURY.5,USING REQUISITE SAFETY.5,PERSON INDEX.1,PERSON INVOLVED TYPE.1,SEX.6,AGE.11,IMPACTING VEHICLE.6,TYPE OF INJURY.6,USING REQUISITE SAFETY.6,PERSON INDEX.2,PERSON INVOLVED TYPE.2,SEX.7,AGE.12,IMPACTING VEHICLE.7,TYPE OF INJURY.7,USING REQUISITE SAFETY.7,PERSON INDEX.3,PERSON INVOLVED TYPE.3,SEX.8,AGE.13,IMPACTING VEHICLE.8,TYPE OF INJURY.8,USING REQUISITE SAFETY.8,PERSON INDEX.4,PERSON INVOLVED TYPE.4,SEX.9,AGE.14,IMPACTING VEHICLE.9,TYPE OF INJURY.9,USING REQUISITE SAFETY.9,collision_type_more,collision_type_more_2,collision_type_more_3,collision_type_more_4,collision_type_more_5,Male Fatality,Female Fatality,Other Fatality,EXPECTED_ZONE,ACCIDENT_COUNT_FOR_ZONE
10001,10/22/2024,50001,02/09/2024,18:50:00,Near Technopolics building in front of Kia motor s...,Bidhannagar Police Commissionerate,Bidhannagar Ec,West Bengal,Urban,Minor Injury (No Need of Hospitalization),0,0,0,0,0,0,0,0,1,1,0,0,,NO,0,NO,0,2,0,,Sufficiently lit,0,Hit from Back,Vehicle to Vehicle,Monday,5/5/2022,Bidhannagar E.C PS,279/337/427,,,5/6/2022 15:33,5/6/2022 15:42,Rakesh Mondal,Constable,8101088960.0,Street Number 18,HCJP+2GQ,"HCJP+2GQ, Street Number 18, BN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091, India",1.5,88.364118,22.573468,20,More than 2 Lanes,Paved,Other Roads,,Urban,0,No,No,Good,Market/Commercial Area,Straight Road,DIVIDED CARRIAGEWAY,T Junction,,,1,Car,WB06E6297,1,Can be driven away,Passenger,Not known,0,NONE,2010,12,North,2,Car,WB08B0706,1.0,Can be driven away,Passenger,Normally Loaded,0.0,NONE,2015.0,7.0,North,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,2.0,Male,Unknown,,Car,0,Valid Permanent License,Not Applicable,,Rash Driving,Non Injury,Not Known,1.0,Male,Unknown,,Car,0.0,Valid Permanent License,Not Applicable,,,Minor Injury (No Need of Hospitalization),Not Known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Pedestrian,Straight,,,,0,0,0,RED,10
10002,11/12/2024,50002,12/15/2024,18:17:00,Akankha More Under Eco Park PS.,Bidhannagar Police Commissionerate,Eco Park,West Bengal,Urban,Fatal,1,1,0,0,0,0,0,0,0,0,0,0,,NO,0,NO,0,2,0,,Sufficiently lit,0,Hit from Back,Vehicle to Vehicle,Monday,11/22/2022,Eco Park PS,279/338/304A/427,,,11/24/2022 15:36,1/18/2023 21:26,Ajijul Laskar,CIVIC,7003432972.0,Action Area II,JF97+PQ3,"JF97+PQ3, Action Area II, Newtown, New Town, West Bengal 700135, India",2.7,88.363585,22.573584,15,More than 2 Lanes,Paved,Other Roads,,Urban,0,No,Yes,Good,Residential Area,Straight Road,DIVIDED CARRIAGEWAY,,,,1,Truck/Lorry,WB41 9476,1,Can be driven away,Goods,Normally Loaded,0,NONE,1997,26,East,2,Motorised Two Wheeler,wb96n 4163,1.0,Needs to be Towed,Passenger,Normally Loaded,0.0,NONE,2020.0,3.0,East,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,2.0,Male,Jayadeb Kumar Ghosh,"S/O- Lt. Kartick ghosh Of -Vill+PO. Kashinagar PS- Raidighgi, Dits- South 24 PGS.",Motorised Two Wheeler,55,Valid Permanent License,HMV,wb2019890145098,Rash Driving,Non Injury,Not Applicable,1.0,Male,Abubakkar Molla,"S/O- Lt. Leisel Molla Of vill+PO- Deuli, PS-Jibantala, Dist-South 24 PGS.",Truck/Lorry,36.0,Without License,,,,Fatal,With Helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Vehicle,Hit from Back,Moving,Breaking Distance by rear vehicle - No,,1,0,0,RED,10
10003,12/15/2024,50003,09/05/2024,18:26:00,Near Nicco Park Under BDN South PS.,Bidhannagar Police Commissionerate,Bidhannagar (south),West Bengal,Urban,Grievous Injured (Need Hospitalization),0,0,0,0,1,1,0,0,0,0,0,0,,NO,0,NO,0,2,0,,Sunny/Clear,0,Hit from side,Vehicle to Vehicle,Monday,12/14/2022,Bidhannagar South PS,279/338,,,12/15/2022 11:40,2/8/2023 16:10,Rakesh Mondal,Constable,8101088960.0,HM Block,Nicco Park,"Nicco Park, HM Block, Sector IV, Bidhannagar, West Bengal 700106, India",1.5,88.363048,22.573705,22,More than 2 Lanes,Paved,Other Roads,,Urban,0,No,Yes,Good,Market/Commercial Area,Straight Road,DIVIDED CARRIAGEWAY,Median cut,Police Control,,1,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,Not known,0,UNKNOWN,0,0,,2,Motorised Two Wheeler,,0.0,Can be driven away,Passenger,Normally Loaded,0.0,NONE,2018.0,5.0,North,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,0,,,,,,,1.0,Male,Sekh Haium,"S/O Late Sk. Akhter of Hatiwara Jhowtala, PS- Eco Park, Kolkata- 700157",UNKNOWN,0.0,Valid Permanent License,Not Applicable,,,Grievous Injured (Need Hospitalization),With Helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Vehicle,Hit from Back,Moving,Breaking Distance by rear vehicle - Yes,,0,0,0,RED,10
10004,10/13/2024,50004,01/04/2024,18:31:00,Airport 2 ½ no gate under Airport PS,Bidhannagar Police Commissionerate,Airport,West Bengal,Urban,Grievous Injured (Need Hospitalization),0,0,0,0,2,1,1,0,0,0,0,0,,NO,0,NO,0,2,0,,Sufficiently lit,0,Hit from side,Vehicle to Vehicle,Friday,6/24/2022,Airport PS,279/338/427,,,6/25/2022 13:52,6/25/2022 14:01,Rakesh Mondal,Constable,8101088960.0,Motilal Colony,JCXP+994,"JCXP+994, Motilal Colony, Rajbari, Dum Dum, Kolkata, West Bengal 700052, India",2,88.364016,22.573586,22,More than 2 Lanes,Paved,National Highway,NH-12,Urban,0,No,Yes,Good,Bus Stop,Straight Road,DIVIDED CARRIAGEWAY,Median cut,Traffic Light Signal,,1,UNKNOWN,UNKNOWN,0,UNKNOWN,UNKNOWN,Not known,0,UNKNOWN,0,0,,2,Motorised Two Wheeler,,0.0,Needs to be Towed,Passenger,Normally Loaded,0.0,NONE,2020.0,2.0,North,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,0,,,,,,,1.0,Male,SoumyadipSingha Roy,"of 1/1 Bodon Roy Lane, Kadamtala, Howrah-711101",UNKNOWN,0.0,Valid Permanent License,MCWG,,,Grievous Injured (Need Hospitalization),With Helmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Passenger,Male,0.0,UNKNOWN,Grievous Injured (Need Hospitalization),With Helmet,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Vehicle,Hit from Side,Due to overloading - No,,,0,0,0,RED,10
10005,12/19/2024,50005,10/15/2024,18:46:00,"Wipro more signal, Salt Lake, Sector-V, under EC P...",Bidhannagar Police Commissionerate,Bidhannagar Ec,West Bengal,Urban,Grievous Injured (Need Hospitalization),0,0,0,0,1,1,0,0,0,0,0,0,,NO,0,NO,0,2,0,,Sufficiently lit,0,Hit from Back,Vehicle to Vehicle,Friday,7/16/2022,Bidhannagar E.C. PS,279/338/427,,,7/28/2022 11:33,7/28/2022 11:48,Rakesh Mondal,Constable,8101088960.0,HCHG+QG7,Loha Pool,"HCHG+QG7 Loha Pool, DM Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091, India",0.5,88.364828,22.573049,22,2 Lanes or less,Paved,Other Roads,,Urban,0,No,Yes,Good,Market/Commercial Area,Straight Road,DIVIDED CARRIAGEWAY,Four Arm Junction,Traffic Light Signal,,1,Car,wb12be5231,1,Needs to be Towed,Passenger,Normally Loaded,0,,2021,1,East,2,Car,wb25g3708,1.0,Can be driven away,Passenger,Empty,0.0,NONE,2016.0,6.0,East,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,2.0,Male,Unknown,,Car,0,Valid Permanent License,LMV,,Rash Driving,Non Injury,Not Known,1.0,Male,Arjun Shaw,"S/O Lakham Shaw of B/2/H/4, Gobindra Chandra Khatick Road, Kol-46",Car,0.0,Valid Permanent License,LMV,,,Grievous Injured (Need Hospitalization),With Seat Belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Vehicle,Hit from Back,Moving,Breaking Distance by rear vehicle - Yes,,0,0,0,RED,10
10006,10/26/2024,50006,05/22/2024,18:18:00,"Near City Center I Mall, Salt Lake Sector-1, Kolka...",Bidhannagar Police Commissionerate,Bidhannagar (north),West Bengal,Urban,Grievous Injured (Need Hospitalization),0,0,0,0,1,0,0,1,0,0,0,0,,NO,0,NO,0,1,0,Footpath,Sunny/Clear,0,Hit from side,Vehicle to Pedestrian,Sunday,9/8/2022,ASI Samir Kumar Mondal,279/338,,,9/9/2022 14:10,11/2/2022 18:50,Ajijul Laskar,CIVIC,7003432972.0,DC Block,Kolkata,"DC-J/15,, Salt Lake, Sector 1, DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064, India",1.5,88.362461,22.574493,17,2 Lanes or less,Paved,Other Roads,,Urban,0,No,No,Good,Market/Commercial Area,Straight Road,DIVIDED CARRIAGEWAY,,,Footpath,1,Car,WB34BH 6106,1,Can be driven away,Passenger,Normally Loaded,0,NONE,2018,4,North,2,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,0.0,Male,JOY PRAKASH KUMAR,"S/O-BABULUL YADAV VII-BAIJUDIH, PO-SUIYA, PS-KATURIYA,DIST-BANKA,PIN813106",,24,Valid Permanent License,LMV,BR5120170031104,Rash Driving,Non Injury,Not Known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Pedestrain,Female,24.0,,Grievous Injured (Need Hospitalization),Not Applicable,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Pedestrian,Bus Stop,Running after Bus,,,0,0,0,RED,10
10007,11/15/2024,50007,12/18/2024,18:24:00,Near Coco Petrol pump New Town,Bidhannagar Police Commissionerate,Techno City,West Bengal,Urban,Grievous Injured (Need Hospitalization),0,0,0,0,1,1,0,0,0,0,0,0,,NO,0,NO,0,2,0,,Sunny/Clear,0,Hit from side,Vehicle to Vehicle,Friday,4/1/2022,Techno City PS,279/338/427,,,4/2/2022 12:47,4/2/2022 13:16,Rakesh Mondal,Constable,8101088960.0,Newtown,HG43+498,"HG43+498, Newtown, New Town, West Bengal 700135, India",3,88.365861,22.571876,19,More than 2 Lanes,Paved,Other Roads,,Urban,0,No,No,Good,Petrol Pump,Straight Road,DIVIDED CARRIAGEWAY,,,,1,Truck/Lorry,WB15D0514,1,Can be driven away,Goods,Not known,0,NONE,2016,6,West,2,Car,WB02AN5916,1.0,Needs to be Towed,Passenger,Not known,0.0,NONE,2018.0,4.0,South,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,2.0,Male,Unknown,,Car,0,Valid Permanent License,Not Applicable,,Rash Driving,Non Injury,Not Applicable,1.0,Male,Rajkumar Dey,"S/o- Debobrata Dey of Asana Co-operative society, street No. 0899, PS- Techno City",Truck/Lorry,0.0,Valid Permanent License,Not Applicable,,,Grievous Injured (Need Hospitalization),Not Known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Vehicle,Hit from Side,Due to overloading - No,,,0,0,0,RED,10
10008,08/10/2024,50008,04/02/2024,18:25:00,Malir Bagan under Airport PS,Bidhannagar Police Commissionerate,Airport,West Bengal,Urban,Grievous Injured (Need Hospitalization),0,0,0,0,1,0,0,1,0,0,0,0,,NO,0,NO,0,1,0,No Facility,Sunny/Clear,0,Hit to Pedestrian,Vehicle to Pedestrian,Tuesday,9/14/2022,ASI ARUP GHOSH,279/338,,,9/15/2022 13:00,10/11/2022 13:50,Ajijul Laskar,CIVIC,7003432972.0,National Highway 12,42,"42, NH12, Mahajati Nagar, Birati, Kolkata, West Bengal 700134, India",12,88.36413,22.572043,15,2 Lanes or less,Paved,State Highway,SH-1,Urban,0,No,No,Good,Market/Commercial Area,Straight Road,DIVIDED CARRIAGEWAY,,,No Facility,1,Truck/Lorry,wb23d3081,1,Can be driven away,Goods,Normally Loaded,0,NONE,2015,7,East,2,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,0.0,Male,Subhash Kumar,"Ram prosad Singh Dist-Darbhanga,Bihar",,27,Without License,,,Rash Driving,Non Injury,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Pedestrain,Male,23.0,Truck/Lorry,Grievous Injured (Need Hospitalization),Not Applicable,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Pedestrian,Junction,Using Pedestrian Facility - No,,,0,0,0,RED,10
10009,07/03/2024,50009,02/25/2024,18:15:00,Near Technopolics building in front of Kia motor s...,Bidhannagar Police Commissionerate,Bidhannagar Ec,West Bengal,Urban,Minor Injury (No Need of Hospitalization),0,0,0,0,0,0,0,0,1,1,0,0,,NO,0,NO,0,2,0,,Sufficiently lit,0,Hit from Back,Vehicle to Vehicle,Monday,5/5/2022,Bidhannagar E.C PS,279/337/427,,,5/6/2022 15:33,5/6/2022 15:42,Rakesh Mondal,Constable,8101088960.0,Street Number 18,HCJP+2GQ,"HCJP+2GQ, Street Number 18, BN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091, India",1.5,88.363106,22.570696,20,More than 2 Lanes,Paved,Other Roads,,Urban,0,No,No,Good,Market/Commercial Area,Straight Road,DIVIDED CARRIAGEWAY,T Junction,,,1,Car,WB06E6297,1,Can be driven away,Passenger,Not known,0,NONE,2010,12,North,2,Car,WB08B0706,1.0,Can be driven away,Passenger,Normally Loaded,0.0,NONE,2015.0,7.0,North,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,2.0,Male,Unknown,,Car,0,Valid Permanent License,Not Applicable,,Rash Driving,Non Injury,Not Known,1.0,Male,Unknown,,Car,0.0,Valid Permanent License,Not Applicable,,,Minor Injury (No Need of Hospitalization),Not Known,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to Pedestrian,Straight,,,,0,0,0,RED,10
10010,04/05/2024,50010,11/14/2024,18:15:00,Bangur subway on VIP Road under Lake Town PS.,Bidhannagar Police Commissionerate,Lake Town,West Bengal,Urban,Fatal,1,1,0,0,0,0,0,0,0,0,0,0,,NO,0,NO,0,1,1,,Sunny/Clear,0,Hit from Back,Vehicle to Non-Motorised vhicle,Wednesday,9/28/2022,SI MILAN DUTTA,279/304A,,,9/30/2022 14:02,1/5/2023 17:31,Ajijul Laskar,CIVIC,7003432972.0,Kolkata,Bangur Avenue,"Bangur Avenue, West Bengal, India",2,88.364038,22.573982,16,More than 2 Lanes,Paved,Other Roads,,Urban,0,No,Yes,Good,Bus Stop,Straight Road,DIVIDED CARRIAGEWAY,,,,1,Bus,wb25F-9381,1,Can be driven away,Passenger,Normally Loaded,0,NONE,2015,8,South,2,Bicycle,,0.0,Needs to be Towed,Passenger,Normally Loaded,0.0,,0.0,0.0,South,3,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,2.0,Male,Liyafat Middie,"S/O- Chhabat Ali Middie Of Vill-Uttar Gazipur Purba Para,PO- Machibhanga, PS-Kashipur, Dist-South 24 Parganas,Pic-700135.",Bicycle,38,Valid Permanent License,HMV,wb2020150110642,Rash Driving,Non Injury,Not Applicable,1.0,Male,Amar Bhowmick,"S/O-lt. Akhil Ch. Bhowmick Of DH/7 Sukantta Pally, Jhyangra, PS-Baguiati, kol-700059",Bus,61.0,Not Applicable,,,,Fatal,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,Vehicle to non-motorised vehicle,Hit from Back,Moving,Breaking Distance by rear vehicle - No,,1,0,0,RED,10
